index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
17419,in,chhata,27.716666999999998,77.5,72.1,51.0,80.0,4.59
43921,us,marblehead,42.5,-70.8583333,36.88,100.0,75.0,4.7
13595,gr,gouvia,39.6502778,19.8433333,,,,
14080,gr,panormos,35.4166667,24.7,58.05,82.0,20.0,5.82
36793,ru,lermontov,44.106667,42.973333000000004,32.0,98.0,90.0,2.24
41074,tz,nyanguge,-2.55,33.2,69.8,94.0,40.0,11.41
34236,ro,sicula,46.433333000000005,21.75,32.54,86.0,88.0,9.17
32643,ro,chirnogeni,43.9,28.233333000000002,41.0,100.0,75.0,12.75
34510,ro,tomsani,45.116667,24.05,34.72,92.0,0.0,10.29
28036,ph,datagon,9.4461,123.0891,87.8,70.0,20.0,6.93
7385,co,sibate,4.484249,-74.24499,55.4,71.0,40.0,4.7
4784,ca,melita,49.266667,-100.983333,27.19,89.0,92.0,10.96
41208,ua,bushtyno,48.05121,23.485785999999997,32.0,95.0,90.0,12.75
32167,ro,babadag,44.9,28.716666999999998,41.0,93.0,56.0,8.05
16352,id,kupang,-10.166667,123.58333300000001,87.8,70.0,75.0,9.17
40288,th,sawankhalok,17.315972,99.831861,87.31,56.0,0.0,4.52
40400,tm,asgabat,37.95,58.3833333,,,,
7048,co,mapiripan,2.889155,-72.125591,71.97,93.0,8.0,3.13
44932,us,pinehurst,35.1952778,-79.4697222,43.05,87.0,1.0,5.41
39080,ru,yasnaya polyana,44.0225,42.7539,32.0,61.0,90.0,2.24
27497,ph,bombon,13.6887,123.2077,84.34,77.0,0.0,12.68
25027,my,labis,2.385,103.021,82.45,82.0,48.0,2.35
37224,ru,niny,44.487778000000006,43.948889,33.58,94.0,64.0,3.06
5318,ch,conthey,46.225283000000005,7.3037149999999995,18.77,79.0,40.0,1.12
46229,uz,bekobod,40.220833299999995,69.2697222,28.4,79.0,90.0,6.71
43312,us,macomb,40.459166700000004,-90.6716667,56.12,58.0,1.0,17.22
18461,in,madukkarai,10.9,76.966667,77.0,78.0,75.0,6.76
45062,us,mayfield heights,41.5191667,-81.4580556,33.21,100.0,1.0,6.31
8091,cz,loucovice,48.620897,14.249763,32.0,78.0,75.0,14.99
14638,gt,san miguel panan,14.533332999999999,-91.366667,65.04,79.0,0.0,2.01
36368,ru,kislovodsk,43.913333,42.720833,32.0,61.0,90.0,2.24
2761,br,conceicao do mato dentro,-19.016667,-43.416667,67.02,97.0,92.0,2.84
19910,ir,kashan,33.9888,51.4773,32.0,84.0,0.0,0.78
5739,cm,bangangte,5.15,10.516666699999998,65.71,89.0,8.0,3.06
39883,sr,marienburg,5.883333299999999,-55.05,75.2,94.0,0.0,5.82
32478,ro,buda,45.5,26.9,23.64,92.0,48.0,2.84
33629,ro,mosnita noua,45.717222,21.325278,32.61,96.0,90.0,10.29
28918,ph,malawag,13.383332999999999,123.28333300000001,84.57,99.0,24.0,11.34
9746,de,ueckermunde,53.733332999999995,14.05,33.8,100.0,20.0,9.17
31500,pt,arrifana,40.915653000000006,-8.496569000000001,38.14,79.0,0.0,6.93
39726,sl,alikalia,9.166666699999999,-11.4,71.11,84.0,12.0,3.02
28397,ph,jovellar,7.0635,126.455582,83.62,79.0,36.0,5.14
35668,ru,dankov,53.251554000000006,39.155533,34.03,94.0,92.0,15.88
6848,co,el tarra,8.575621,-73.094891,67.33,96.0,80.0,2.06
44224,us,woodbury,44.923888899999994,-92.9591667,48.04,57.0,90.0,10.29
2923,br,garibaldi,-29.25,-51.533333,68.46,94.0,92.0,1.9
46049,us,spokane,47.658888899999994,-117.425,32.36,74.0,20.0,5.82
17182,in,begowal,31.616667,75.516667,67.6,61.0,0.0,4.41
41625,ua,pohrebyshche,49.486387,29.263613,28.9,92.0,80.0,12.19
28565,ph,la paz,8.270833,125.799722,87.8,62.0,75.0,4.7
6269,cn,qinnan,33.253056,119.91333300000001,46.27,87.0,80.0,13.8
17502,in,darbhanga,26.166667,85.9,79.39,36.0,0.0,5.53
22531,lu,kayl,49.4891667,6.0397222,31.15,100.0,90.0,9.17
12584,gb,guildford,51.216667,-0.566667,40.71,93.0,90.0,6.93
10232,do,bayaguana,18.75,-69.6333333,75.2,94.0,20.0,4.7
7670,cu,bauta,22.9827778,-82.54638890000001,64.4,93.0,20.0,4.7
33680,ro,nehoiu,45.416667,26.3,23.41,86.0,80.0,2.13
29052,ph,margen,11.017000000000001,124.5293,83.67,84.0,80.0,4.07
26678,pe,la brea,-4.2608333,-80.8875,,,,
40594,tr,gumushane,40.460278,39.481389,,,,
19724,in,vandalur,12.892778,80.080833,84.2,70.0,40.0,9.17
20077,it,apricena,41.783333,15.45,41.0,93.0,20.0,11.41
24283,mx,paso del macho,18.966667,-96.716667,69.8,100.0,40.0,3.36
222,am,byureghavan,40.3147222,44.593611100000004,24.8,92.0,20.0,2.51
43614,us,winchester,37.99,-84.1797222,59.0,8.0,0.0,14.99
6767,co,concordia,9.835452,-74.455478,59.0,93.0,40.0,4.7
40587,tr,gerede,40.800833000000004,32.196944,34.03,81.0,48.0,4.52
8849,de,friedrichshafen,47.65,9.483333,31.28,100.0,90.0,10.29
9668,de,spremberg,51.55,14.366667000000001,33.8,97.0,75.0,11.41
37478,ru,onokhoy,51.931999999999995,108.0747,17.6,85.0,90.0,8.95
6118,cn,kunyang,27.665833000000003,120.56583300000001,63.01,76.0,0.0,10.85
46717,za,vredefort,-27.008048,27.364601,66.66,75.0,8.0,12.12
10826,es,granollers,41.607816,2.289721,28.85,73.0,0.0,3.36
38329,ru,staraya stanitsa,48.336326,40.295881,41.05,89.0,44.0,11.34
36589,ru,krasnoyarsk-66,56.2747,91.5305,,,,
37696,ru,poim,53.026393999999996,43.187214000000004,34.48,93.0,92.0,16.44
21799,jp,suibara,37.833333,139.23333300000002,51.8,71.0,75.0,9.17
3129,br,itaporanga,-23.7,-49.483333,71.38,74.0,8.0,9.66
8101,cz,lysa nad labem,50.201139000000005,14.841773000000002,32.0,91.0,40.0,20.8
38324,ru,staraya kupavna,55.807993999999994,38.180499,27.5,92.0,75.0,6.71
31325,pl,skarzysko-kamienna,51.117238,20.895717,21.79,91.0,76.0,14.09
39244,ru,zhadovka,53.57464399999999,46.949846,33.94,97.0,92.0,12.8
6930,co,guayata,4.964167,-73.4875,64.86,86.0,0.0,2.24
31961,py,mbutuy,-24.966667,-56.3,76.29,82.0,88.0,5.3
24289,mx,pemex,17.9,-92.5,,,,
42741,us,storrs,41.8083333,-72.25,37.4,86.0,90.0,2.39
24281,mx,paredon,16.033333,-93.866667,65.8,84.0,12.0,3.29
44662,us,bloomfield,36.711111100000004,-107.9838889,36.01,100.0,90.0,2.35
19307,in,sarangarh,21.6,83.083333,76.15,62.0,0.0,5.82
675,at,mattersburg,47.733333,16.4,33.8,74.0,75.0,14.99
3956,br,sao joao da boa vista,-21.966667,-46.783333,61.44,91.0,12.0,2.62
44472,us,rindge,42.7511111,-72.0102778,35.38,86.0,90.0,2.35
27938,ph,conel,6.200741000000001,125.18825,80.29,93.0,76.0,2.01
12452,gb,cwmbran,51.653056,-3.0266669999999998,42.4,100.0,20.0,10.29
46343,ve,los dos caminos,10.2372222,-66.6833333,78.8,69.0,40.0,2.06
32483,ro,budesti,45.05,24.383333,34.68,93.0,0.0,9.17
11150,et,deder,9.316667,41.45,68.46,40.0,0.0,3.58
37583,ru,perelyub,51.866667,50.366667,25.12,89.0,92.0,15.37
43277,us,hanover park,41.999444399999994,-88.145,49.01,61.0,1.0,11.41
26180,np,siraha,26.65,86.2,80.11,33.0,0.0,6.38
7,ae,abu dhabi,24.466667,54.36666700000001,66.13,56.0,0.0,8.05
4118,br,tavares,-7.633333,-37.9,67.74,83.0,20.0,9.28
30225,ph,sinuknipan,13.8894,122.6375,85.47,75.0,0.0,12.12
26987,ph,alejal,7.384167,125.66,89.6,59.0,40.0,12.75
44356,us,kalispell,48.1958333,-114.31194440000002,28.4,100.0,75.0,3.74
7851,cz,brno,49.2,16.633333,29.14,86.0,75.0,5.82
29081,ph,matagbak,14.130556,120.834722,86.0,79.0,40.0,6.93
31778,pt,santa cruz do bispo,41.225497999999995,-8.683605,37.76,80.0,0.0,6.93
35694,ru,digora,43.158056,44.156944,33.81,68.0,12.0,2.84
43870,us,concord,42.4602778,-71.3494444,48.09,75.0,1.0,8.16
46701,za,tzaneen,-23.833222,30.163505999999998,74.89,64.0,24.0,4.41
43228,us,charleston,39.4961111,-88.17611109999999,47.08,93.0,1.0,5.86
14563,gt,retalhuleu,14.533332999999999,-91.68333299999999,72.69,100.0,0.0,3.51
40347,tj,buston,40.521666700000004,69.3308333,28.4,79.0,90.0,6.71
1119,ba,jajce,44.3422222,17.265555600000003,21.2,107.0,24.0,2.24
37843,ru,pyshchug,58.887259,45.713413,27.64,91.0,80.0,3.8
11981,fr,rueil-malmaison,48.876503,2.189666,39.2,100.0,90.0,3.36
15000,hn,la zumbadora,15.016666699999998,-88.9,65.44,99.0,92.0,1.72
34569,ro,uivar,45.658056,20.905832999999998,32.61,76.0,90.0,10.29
30053,ph,santa ignacia,15.6169,120.4358,87.8,62.0,75.0,4.7
9302,de,michelstadt,49.673611,9.0025,33.8,94.0,90.0,6.93
38954,ru,volkhov,59.819014,32.367159,29.76,81.0,80.0,9.06
2780,br,cornelio procopio,-23.133333,-50.65,,,,
31886,py,asuncion,-25.266667,-57.666667000000004,73.4,94.0,0.0,3.36
3314,br,mancio lima,-7.616667,-72.9,75.2,94.0,0.0,2.51
1763,be,somme-leuze,50.333333,5.366667,37.4,93.0,75.0,9.17
42103,us,cottonwood,34.7391667,-112.00916670000001,47.57,46.0,1.0,10.29
28378,ph,jaro,11.188333,124.7825,82.18,100.0,88.0,5.64
28913,ph,malasila,6.9438889999999995,125.12944399999999,89.6,59.0,40.0,12.75
16853,in,akaltara,22.016667,82.43333299999999,74.35,67.0,0.0,4.52
34521,ro,topraisar,44.016667,28.45,41.0,100.0,75.0,12.75
27539,ph,buenavista,10.54406,123.447802,83.31,92.0,20.0,5.37
30735,pk,dera din panah,30.6766,70.730522,,,,
25517,nl,druten,51.894314,5.601302,41.72,93.0,90.0,4.7
19243,in,sagar,23.833333,78.716667,70.48,53.0,48.0,6.53
392,am,ushi,40.3536111,44.3686111,20.75,92.0,20.0,2.51
24500,mx,santa maria del tule,17.033333,-96.616667,42.27,86.0,0.0,2.24
