index,Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
45539,us,gallatin,36.3883333,-86.44666670000001,35.6,80.0,1.0,2.84
42605,us,visalia,36.3302778,-119.29111110000001,41.0,70.0,1.0,2.73
7354,co,santa maria,2.861389,-75.597778,55.82,97.0,56.0,1.95
34354,ro,stelnica,44.416667,27.883333,37.4,93.0,0.0,17.22
82,al,cerrik,41.0316667,19.9758333,32.0,80.0,0.0,3.36
35725,ru,domna,51.897121999999996,113.157302,1.4,84.0,40.0,2.24
16312,id,kamal,-7.167778,112.719167,89.6,62.0,20.0,11.41
28434,ph,kapatan,5.900556,125.2375,79.04,95.0,64.0,2.62
12544,gb,fraserburgh,57.683333,-2.016667,48.2,61.0,20.0,23.04
19034,in,pithapuram,17.116667,82.266667,75.26,61.0,88.0,3.74
18262,in,khudaganj,28.15,79.716667,70.76,84.0,36.0,4.97
19252,in,saidpur,28.616667,77.916667,71.26,86.0,0.0,4.74
41693,ua,semenivka,49.590311,33.180486,25.27,90.0,68.0,10.78
26958,ph,akle,15.0482,121.0733,86.88,58.0,75.0,4.7
26506,pa,pedasi,7.5333333,-80.0333333,77.33,100.0,80.0,5.97
10078,dk,neder vindinge,55.032106999999996,11.883556,44.6,87.0,92.0,20.8
41418,ua,kulevcha,46.030338,29.936137,38.54,99.0,36.0,15.03
41385,ua,kosiv,48.310708,25.095751999999997,41.0,92.0,90.0,8.95
43852,us,billerica,42.5583333,-71.2694444,32.02,74.0,1.0,5.3
1842,be,zonhoven,50.983333,5.35,37.62,90.0,75.0,13.87
10953,es,ondarroa,43.325088,-2.423304,39.72,65.0,0.0,4.85
17816,in,hailakandi,24.683332999999998,92.56666700000001,77.51,80.0,0.0,3.96
23852,mx,hopelchen,19.766667,-89.85,77.0,88.0,40.0,11.41
4537,ca,clermont,47.683333000000005,-70.233333,,,,
40516,tr,biga,40.228056,27.242221999999998,25.13,88.0,0.0,2.73
6298,cn,shangqiu,34.383333,115.61666699999999,52.27,48.0,0.0,8.99
19395,in,shirhatti,15.233332999999998,75.583333,78.41,82.0,36.0,5.41
7256,co,rondon,5.356415,-73.20917800000001,,,,
15239,hn,vivistorio,14.9,-88.7333333,,,,
37223,ru,nikolskoye,55.193889,165.9925,,,,
20785,it,pisa,43.716667,10.383333,33.37,100.0,75.0,2.24
36290,ru,khodz,44.5102,40.7142,30.31,86.0,92.0,4.97
12201,ga,libreville,0.3833333,9.45,73.4,94.0,90.0,4.7
20232,it,carpi,44.783333,10.883333,30.07,86.0,36.0,3.36
5085,ca,vulcan,50.4,-113.25,26.89,60.0,0.0,4.41
20219,it,carate brianza,45.683333000000005,9.233333,32.5,93.0,40.0,2.24
6898,co,gonzalez,8.389441999999999,-73.37989300000001,66.76,89.0,64.0,2.17
44647,us,west orange,40.7986111,-74.2394444,37.26,64.0,90.0,5.08
21590,jp,moka,36.433333000000005,140.01666699999998,,,,
20552,it,lonigo,45.383333,11.383333,30.2,86.0,0.0,3.36
304,am,marmarashen,40.0575,44.4711111,32.0,89.0,75.0,2.73
17221,in,bhagalpur,25.25,87.0,74.86,70.0,0.0,4.41
1060,ba,bosanska krupa,44.8825,16.1513889,21.26,78.0,0.0,2.39
39919,sv,delgado,13.724166699999998,-89.1702778,75.2,73.0,0.0,6.93
33547,ro,merei,45.133333,26.683333,28.69,76.0,20.0,4.63
13995,gr,nea pella,40.7661111,22.4855556,48.2,49.0,20.0,9.17
36696,ru,kurchatov,51.6601,35.6521,28.4,86.0,75.0,15.66
43407,us,woodridge,41.7469444,-88.05027779999999,25.79,73.0,90.0,16.11
2200,bo,montero,-17.3333333,-63.25,73.4,94.0,75.0,4.85
27934,ph,concepcion,15.325459,120.65723100000001,87.8,58.0,75.0,4.7
19923,ir,kuhdasht,33.535,47.6061,48.2,76.0,90.0,6.93
7417,co,suaza,1.9761080000000002,-75.79454,67.16,96.0,68.0,1.61
8964,de,hamminkeln,51.733333,6.5833330000000005,41.0,75.0,75.0,14.99
15232,hn,valle de angeles,14.15,-87.0333333,70.11,82.0,75.0,5.82
42648,us,craig,40.5152778,-107.54583329999998,8.15,78.0,40.0,4.85
1244,ba,voljevac,43.8786111,17.6591667,22.14,100.0,90.0,3.36
4279,bs,nassau,25.0833333,-77.35,77.0,83.0,40.0,11.23
36819,ru,lgov,51.6888,35.2843,,,,
1905,bg,batak,41.95,24.216666699999998,42.8,48.0,0.0,14.99
23842,mx,hermosillo,29.066667,-110.96666699999999,68.0,52.0,40.0,2.62
35005,rs,sremski karlovci,45.2025,19.934444,,,,
37880,ru,reutov,55.761111,37.8575,24.8,86.0,90.0,8.95
6185,cn,luoyang,34.683611,112.45361100000001,47.99,43.0,0.0,13.24
41269,ua,dunayivtsi,48.889086999999996,26.856362,,,,
15115,hn,san antonio del norte,13.883333300000002,-87.7,69.82,82.0,75.0,5.82
27333,ph,baroy,8.0269,123.7784,80.62,94.0,32.0,4.07
38353,ru,staroshcherbinovskaya,46.6311,38.6742,34.49,100.0,88.0,12.35
12054,fr,sarcelles,48.99365,2.410771,35.82,86.0,90.0,11.41
23784,mx,empalme,27.966666999999998,-110.816667,54.97,78.0,0.0,5.86
5676,cl,melipilla,-33.7,-71.216667,57.2,76.0,0.0,6.93
40314,th,tha mai,12.621369,102.004805,91.4,49.0,20.0,6.93
33323,ro,ipotesti,47.616667,26.283333000000002,37.4,74.0,75.0,9.17
31821,pt,sobreda,38.649608,-9.189766,37.99,86.0,0.0,1.12
29638,ph,ranao,16.2076,119.8155,84.44,94.0,32.0,6.53
37655,ru,pirogovskiy,55.978056,37.733610999999996,24.82,92.0,75.0,6.71
39920,sv,el congo,13.908888899999999,-89.4958333,77.95,73.0,0.0,6.93
36880,ru,lvovskiy,55.318721999999994,37.523371000000004,25.39,86.0,90.0,8.95
29382,ph,pandan,9.2388,124.7278,80.3,100.0,88.0,5.08
40918,tz,kibondo,-3.5863888999999998,30.720277799999998,68.33,84.0,36.0,4.41
27070,ph,aplaya,8.608611,124.768056,83.45,74.0,0.0,3.74
15511,hu,dunafoldvar,46.807995,18.926385,32.0,89.0,0.0,4.7
